player_id,name,position,pro_team,projected_points
4430723,Jared Wiley,TE,KC,14.059633333333343
4360231,Lucas Krull,TE,DEN,14.022000000000002
3125107,Andrew Beck,RB,NYJ,13.947114285714285
4685350,Trevor Etienne,RB,CAR,13.68
4039505,Reggie Gilliam,RB,NE,13.391500000000006
3123075,Braxton Berrios,WR,NYG,13.378833333333326
4242431,Ty Chandler,RB,NO,13.346000000000004
3926231,Britain Covey,WR,PHI,13.311999999999994
4686104,Johnny Wilson,WR,PHI,13.154000000000003
4244856,Austin Trammell,WR,JAX,13.147500000000003
4241983,Cody White,WR,SEA,13.1165
4429684,Anthony Gould,WR,IND,12.931125000000007
